,num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,sales_channel_Mobile,trip_type_OneWay,trip_type_RoundTrip
0,2,262,19,7,6,0,61,1,0,0,5.52,0,0,0,1
1,1,112,20,3,6,0,61,0,0,0,5.52,0,0,0,1
2,2,243,22,17,3,0,36,1,1,0,5.52,0,0,0,1
3,1,96,31,4,6,0,61,0,0,1,5.52,0,0,0,1
4,2,68,22,15,3,0,36,1,0,1,5.52,0,0,0,1
5,1,3,48,20,4,0,61,1,0,1,5.52,0,0,0,1
6,3,201,33,6,4,0,61,1,0,1,5.52,0,0,0,1
7,2,238,19,14,1,0,36,1,0,1,5.52,0,0,0,1
8,1,80,22,4,1,0,61,0,0,1,5.52,0,0,0,1
9,1,378,30,12,7,0,36,0,0,0,5.52,0,1,0,1
10,2,185,25,14,2,0,100,1,1,1,5.52,0,0,0,1
11,1,8,43,2,6,0,61,1,1,1,5.52,0,0,0,1
12,4,265,24,19,1,0,61,1,0,1,5.52,0,0,0,1
13,1,185,17,14,5,0,36,0,0,0,5.52,0,0,0,1
14,1,245,34,4,2,0,61,1,1,1,5.52,0,0,0,1
15,1,192,18,14,4,0,36,1,0,0,5.52,0,0,0,1
16,1,259,37,6,7,0,36,0,0,0,5.52,0,0,0,1
17,1,19,29,10,6,0,61,0,0,1,5.52,0,0,0,1
18,1,67,155,8,7,0,61,1,0,0,5.52,0,0,0,1
19,1,351,17,3,7,1,17,0,0,0,5.07,0,0,0,1
20,2,228,29,23,3,2,61,1,0,0,7.57,0,0,0,0
21,1,21,88,9,3,3,85,1,0,1,6.62,0,0,0,1
22,2,23,19,8,1,3,61,1,0,1,6.62,0,0,0,1
23,2,25,27,13,5,3,85,1,0,1,6.62,0,0,0,1
24,1,16,21,6,4,3,61,1,0,1,6.62,0,0,0,1
25,1,66,20,7,4,3,85,1,0,0,6.62,0,0,0,1
26,1,51,28,6,5,3,85,0,0,0,6.62,0,0,0,1
27,2,37,24,7,1,3,61,1,0,0,6.62,0,0,0,1
28,1,101,19,11,2,3,85,1,0,1,6.62,0,0,0,1
